stock_code,count_above_1,total_days,pct_above_1,stock_name
603893,12,111,10.81,瑞芯微
603986,33,111,29.73,兆易创新
603993,23,111,20.72,洛阳钼业
605117,18,111,16.22,德业股份
605499,7,111,6.31,东鹏饮料
688008,17,111,15.32,澜起科技
688009,1,111,0.9,中国通号
688012,23,102,22.55,中微公司
688036,13,111,11.71,传音控股
688041,22,111,19.82,海光信息
688047,11,111,9.91,龙芯中科
688082,15,111,13.51,盛美上海
688111,11,111,9.91,金山办公
688126,10,111,9.01,沪硅产业
688169,6,111,5.41,石头科技
688187,6,111,5.41,时代电气
688223,17,111,15.32,晶科能源
688256,20,111,18.02,寒武纪
688271,4,111,3.6,联影医疗
688303,14,111,12.61,大全能源
688396,18,111,16.22,华润微
688472,24,111,21.62,阿特斯
688506,10,111,9.01,百利天恒
688981,14,106,13.21,中芯国际
